code,uic,name,slug,latitude,longitude,province,municipality,type,active
SWD,8400547,Sauwerd,sauwerd,53.291130,6.540400,Groningen,Het Hogeland,stoptreinstation,1
SGN,8400549,Schagen,schagen,52.784443,4.805278,Noord-Holland,Schagen,stoptreinstation,1
SDA,8400551,Scheemda,scheemda,53.165536,6.977778,Groningen,Oldambt,stoptreinstation,1
SDM,8400553,Schiedam Centrum,schiedam-centrum,51.921244,4.408994,Zuid-Holland,Schiedam,stoptreinstation,1
SOG,8400555,Schin op Geul,schin-op-geul,50.856388,5.872222,Limburg,Valkenburg aan de Geul,stoptreinstation,1
SN,8400554,Schinnen,schinnen,50.939167,5.874444,Limburg,Beekdaelen,stoptreinstation,1
SHL,8400561,Schiphol Airport,schiphol-airport,52.309444,4.761944,Noord-Holland,Haarlemmermeer,megastation,1
STD,8400564,Sittard,sittard,51.001667,5.858611,Limburg,Sittard-Geleen,knooppuntIntercitystation,1
SDT,8400565,Sliedrecht,sliedrecht,51.829723,4.778333,Zuid-Holland,Sliedrecht,stoptreinstation,1
SDTB,8400497,Sliedrecht Baanhoek,sliedrecht-baanhoek,51.829722,4.743333,Zuid-Holland,Sliedrecht,stoptreinstation,1
SK,8400566,Sneek,sneek,53.032869,5.652397,Fryslân,Súdwest-Fryslân,knooppuntStoptreinstation,1
SKND,8400574,Sneek Noord,sneek-noord,53.040932,5.663181,Fryslân,Súdwest-Fryslân,stoptreinstation,1
ST,8400567,Soest,soest,52.173332,5.310000,Utrecht,Soest,knooppuntStoptreinstation,1
STZ,8400571,Soest Zuid,soest-zuid,52.165279,5.303056,Utrecht,Soest,stoptreinstation,1
SD,8400569,Soestdijk,soestdijk,52.183613,5.300000,Utrecht,Soest,stoptreinstation,1
SBK,8400572,Spaubeek,spaubeek,50.943270,5.850529,Limburg,Beek (L.),stoptreinstation,1
STV,8400575,Stavoren,stavoren,52.886553,5.360021,Fryslân,Súdwest-Fryslân,stoptreinstation,1
STM,8400576,Stedum,stedum,53.326209,6.687555,Groningen,Eemsdelta,stoptreinstation,1
SWK,8400578,Steenwijk,steenwijk,52.791511,6.114556,Overijssel,Steenwijkerland,intercitystation,1
SRN,8400582,Susteren,susteren,51.061390,5.863056,Limburg,Echt-Susteren,stoptreinstation,1
SM,8400583,Swalmen,swalmen,51.235820,6.032280,Limburg,Roermond,stoptreinstation,1
TG,8400591,Tegelen,tegelen,51.338940,6.142530,Limburg,Venlo,stoptreinstation,1
TBG,8400592,Terborg,terborg,51.922455,6.364247,Gelderland,Oude IJsselstreek,stoptreinstation,1
TL,8400596,Tiel,tiel,51.889446,5.422222,Gelderland,Tiel,knooppuntStoptreinstation,1
TPSW,8400600,Tiel Passewaaij,tiel-passewaaij,51.873890,5.392222,Gelderland,Tiel,stoptreinstation,1
TB,8400597,Tilburg,tilburg,51.560555,5.083611,Noord-Brabant,Tilburg,knooppuntIntercitystation,1
TBR,8400598,Tilburg Reeshof,tilburg-reeshof,51.573612,4.994444,Noord-Brabant,Tilburg,stoptreinstation,1
TBU,8400594,Tilburg Universiteit,tilburg-universiteit,51.564985,5.051778,Noord-Brabant,Tilburg,stoptreinstation,1
TWL,8400599,Twello,twello,52.237778,6.098611,Gelderland,Voorst,stoptreinstation,1
